Page,PageStatus,PageType,StrategyUsed,CardCount,MissingEPICCount,MissingEPICRatio,OKRowCount,SkipReason
1,unknown,,,,,,,
2,skipped,METADATA,,,,,,classified_as_METADATA
3,skipped,METADATA,,,,,,classified_as_METADATA
4,skipped,METADATA,,,,,,classified_as_METADATA
5,skipped,METADATA,,,,,,classified_as_METADATA
6,skipped,METADATA,,,,,,classified_as_METADATA
7,skipped,METADATA,,,,,,classified_as_METADATA
8,skipped,METADATA,,,,,,classified_as_METADATA
9,skipped,METADATA,,,,,,classified_as_METADATA
10,skipped,METADATA,,,,,,classified_as_METADATA
11,skipped,METADATA,,,,,,classified_as_METADATA
12,skipped,METADATA,,,,,,classified_as_METADATA
13,skipped,METADATA,,,,,,classified_as_METADATA
14,skipped,METADATA,,,,,,classified_as_METADATA
15,skipped,METADATA,,,,,,classified_as_METADATA
16,skipped,METADATA,,,,,,classified_as_METADATA
17,skipped,METADATA,,,,,,classified_as_METADATA
18,skipped,METADATA,,,,,,classified_as_METADATA
19,skipped,METADATA,,,,,,classified_as_METADATA
20,skipped,METADATA,,,,,,classified_as_METADATA
21,skipped,METADATA,,,,,,classified_as_METADATA
22,skipped,METADATA,,,,,,classified_as_METADATA
23,skipped,METADATA,,,,,,classified_as_METADATA
24,skipped,METADATA,,,,,,classified_as_METADATA
25,skipped,METADATA,,,,,,classified_as_METADATA
26,unknown,,,,,,,
